25961374|GEN-001,GEN-002,GEN-003,GEN-004,GEN-005,PER-001|meta_analysis|10万人超を含む62独立効果量。自己報告の行動遺伝研究を統合。|性格の個人差の遺伝率は平均約40％。双生児研究は約47％、家族・養子研究は約22％と方法によって異なった。|集団の分散の推定であり、個人の性格の40％が固定される意味ではない。環境成分には誤差も含まれ、2015年以降の測定研究と併読する。|親子で性格が似ている理由を考えるとき、遺伝か育て方かの二択を避ける。
40146588|GEN-001,GEN-003,GEN-004,PER-006|multimethod_family_study|親子522組、きょうだい388組、二親等476組など。本人と他者の性格評定を使用。|本人の自己報告だけでなく他者評価を組み合わせると、通常の家族研究より類似性と遺伝率が高く推定された。|推定値は測定方法・標本・遺伝モデルに依存する。親の関与が無意味、性格が変わらないという結論ではない。|本人と家族で性格の見方が違うとき、誰が正しいかではなく観察情報の違いを考える。
39377163|SLP-004,SLP-010|randomized_crossover_trial|日常のカフェイン摂取が中程度の成人男性23人。100mg・400mgを就寝12・8・4時間前に摂取し偽薬と比較。|400mgでは就寝12時間前でも睡眠への影響が検出された。100mgでは検討条件で有意差が検出されず、主観と客観評価にも差があった。|男性のみの小規模試験。100mgなら全員安全という保証ではなく、摂取量・体質・連用・基礎睡眠を考慮する。|午後のコーヒーだけでなく、エナジードリンク等を含む量と飲む時刻を振り返る。
39685110|HAB-001,HAB-002,HAB-003,HAB-004,EXE-006|systematic_review_meta_analysis|健康行動の習慣形成20研究、2601人。形成期間を報告したのは4研究。|期間は研究・個人で大きく異なり、報告中央値59～66日、平均106～154日だった。21日で必ず完成するという基準にはならない。|多くの研究が高いバイアスリスク。前後差をすべて介入の因果効果とせず、自己報告の自動性と行動頻度を分ける。|運動を一か月続けても楽にならないとき、失敗と決めず行動の難度や合図を見直す。
33164742|SLP-008,MEN-002|clinical_practice_guideline|成人の慢性不眠に対するAASM診療ガイドライン。系統的レビューとGRADEに基づく。|多要素の不眠認知行動療法を強く推奨。睡眠衛生の助言だけを単独治療に使うことは条件付きで推奨していない。|一般の寝つきの悩みと慢性不眠の治療を区別する。睡眠制限療法を自己流の睡眠削減として行わない。|寝室や飲み物を改善しても不眠が続く場合、生活改善だけでなく専門的な相談を検討する記事に使う。
35298459|SLP-002,SLP-003,DIG-010,ENV-008|expert_consensus|健康成人の室内光環境について、生理研究と専門家合意をまとめた提言。|日中・夕方・夜間で光環境を分けて考える枠組みを提示し、明るさを生体作用に対応する尺度で扱う。|単一の無作為化比較試験ではない。通常の照度と生体作用の尺度を混同せず、光療法や個別疾患への処方には使わない。|在宅勤務で一日中室内にいる人が、昼の明るさと夜の照明を別々に考える。
12683469|SLP-001,SLP-007,ATT-007|randomized_sleep_restriction_experiment|健康成人48人。4・6・8時間の就床機会を14日間維持する条件などを実験室で比較。|4・6時間条件では認知成績の低下が蓄積した一方、眠気の自己評価は同じようには悪化し続けなかった。|就床時間と実睡眠は異なる。2004年の訂正の書誌案内があり内容の影響は未確認。短時間睡眠を自己実験しない。|寝不足に慣れたという体感だけで、仕事や運転の安全性を判断しない。
37696529|ADD-001,ADD-006,ADD-007|component_network_meta_analysis|成人喫煙者の禁煙介入RCTを統合し、6か月以上の禁煙と重篤有害事象を比較。|複数の禁煙薬やニコチン代替療法等に禁煙成功率を高める根拠を示す。意志だけに頼る以外の支援を検討する入口になる。|検索は2022年4月まで。海外の薬・電子タバコの結果を日本の承認や安全性・入手可否に転用しない。有害事象データは乏しい。|何度も禁煙に挑戦した人が、自己責任化せず医療者に支援の選択肢を相談する。
33687070|ADD-003,ADD-004,ADD-007,MEN-001|systematic_review_longitudinal_comparisons|禁煙者と喫煙継続者を比べる102研究、16万9500人超。少なくとも6週間後の心理状態を扱う。|禁煙は継続喫煙に比べ、不安・抑うつ・ストレスなどの改善と関連した。精神状態が必ず悪化するという思い込みを見直す材料になる。|禁煙できた人の他の生活変化など交絡が残る。確実性は指標により非常に低い～中程度。短期離脱と長期状態を分ける。|タバコがないとストレスに耐えられないという感覚を、離脱期とその後に分けて説明する。
26479070|HAB-007,HAB-010,MOT-004|meta_analysis_randomized_studies|目標進捗の記録を促す138研究、19951人。対照条件と目標達成を比較。|進捗を確認する介入は目標達成を平均的に改善した。記録や他者への報告がある研究で効果が大きい傾向があった。|記録が合うかは目標と状況による。公開の強制や強迫的な健康記録を勧めず、各手法の単独効果とは分ける。|勉強時間だけでなく、解けた問題や復習できた内容を記録して計画を見直す。
28054797|PER-002,PER-004,GEN-005|systematic_review_meta_analysis|臨床介入を中心に性格変化を追った207研究。無作為化試験と単群前後比較を含む。|介入中に性格尺度の変化が見られ、特に情緒安定性で変化が大きかった。性格は不変という単純な理解を修正する資料。|症状改善と特性の変化を区別。すべての研究が因果を確定する設計ではなく、任意の性格に変われる保証ではない。|心配性は生まれつきだから何もできない、と結論づけないために使う。
33558417|PER-002,PER-006,MOT-003|randomized_waitlist_trial|1523人の3か月のスマホ人格コーチング。1か月待機条件との比較と終了後追跡。|希望した方向への自己報告の性格変化を示し、一部は他者評定でも観察された。増やしたい特性と減らしたい特性で他者評価の結果は同じではない。|待機対照で期待効果を分離しにくい。全期間同じ対照比較ではなく、他のアプリや長期的な人生改善に一般化しない。|社交的になりたい人が、固定タイプの診断より具体的な行動目標を考える。
29505339|MOT-008,DEV-001,RES-004|two_meta_analyses|信念と成績の関連273研究と、介入43研究を別々に統合。|成長マインドセットと学業の関連、介入効果は全体として小さかった。社会経済的に不利な層や学業上リスクのある層の条件差を検討。|努力を信じるだけで成績が伸びるとはしない。サブグループの発見と普遍的な効果を分ける。|成長できるという声かけと、学習機会や具体的な支援を組み合わせて考える。
